id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,collaboration_qual,competition_qual,collaboration_post,collaboration_qual_follow_up,competition_qual_follow_up,work_life,work_challenges,work_challenges_post,work_challenges_follow_up,takeaway,compassion_insight,global_challenge_insight,follow_up_meditation_binary,follow_up_meditation_style_Q,follow_up_changes_Q,anything_else,anything_else_post,anything_else_follow_up
Participant 1,"pre, post",52,Man,"Genova, Italy",White or European descent,Healthcare,NA,NA,Experienced (3-5 Years),"Sitting meditation, walking meditation",Yes,Yes,MBSR; MBSR teacher training,No,NA,Yes,Yes,Parks and woods 4 - 5 days per week,"Sangha dei carruggi (Genova, Italy)",Help from collegues and support in clinical decisions and patients care.,NA,What is important for me is cultivate the insight of interbeing. With this insight is almost impossible not to collaborate with other people.,"What collaboration feels like is a sense of mutual trust and respect. 
Every member of the team, regardless of their title, has a valuable perspective. It’s a shared accountability for the patient’s outcome. 
There's a profound feeling of humility, too, because you recognize that you are just one part of a much larger, more effective system.",NA,NA,NA,Stressful and sometime overwehlming. Frequent sensation that I don't have enough time to do things in a more 'mindful' way,NA,"It is possible live together in a different way. Create a comunity where everyone can feel safe and supported in his practice.

It is possible be present with your presence, doing nothing, just be.",I think self-compassion and compassionate human interactions  are a crucial foundation for developing resilience,NA,NA,"Sitting meditation, Walking meditation, Deep relaxation",No,NA,NA,NA
Participant 2,pre,53,Genderqueer or genderfluid,Leipzig/ Germany,White or European descent,Education,The mind / system Theorie,NA,Very Experienced (5+ Years),Meditation sitting and walking,Yes,Yes,MBSR,Yes,Theravada Buddhism general retreats in Sri Lanka,Yes,Yes,"Parks near to my appartment, I go there 2-4 times a week",International Queer Sangha / LGBTQIA +,Working together for one aim.,"In my company there is very little competition, we try to find a place for everyone where there is a good balance and satisfaction",NA,NA,NA,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I am not sure if I fit into the survey. I am already in Plum Village and will be here three weeks before the science retreat. I run an education company and I am very interested in neuroscience, but I do not work as a scientist. Please feel free to take me out if I am not a fit ☺️ Good luck!",NA,NA
Participant 3,"pre, post",26,Man,"The Hague, Netherlands","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Academia, Information Technology",Computer graphics,Delft university of technology,Little (1-2 Years),"Meditation, guided meditation, waking meditation, eating meditation",No,Yes,Introductory courses to mindfulness,Yes,Meditation session at a Sangha in The Hague,No,Yes,"Parks, natural forests, seasides. About twice a week",Zen Heart Sangha Nederland,The collaboration is more like a hierarchy. My current collaborators are my supervisors from my group and companies outside. They tend to give more opinions and feedback than support and help.,"In computer science in general the competition is huge, appearing as publication pressure. In my field in computer graphics it is less competitive but still more than average competition in the whole academia.","It is better to practice meditation in a community. This way, not only can we share insights with each other, but also the influence of the collective mindfulness energy can help us sustain our practice.
Questions and ideas shared in a group can become part of the collective store consciousness. So sometimes, a question asked somewhere might find its answer from the mouth of someone else at a later time.",NA,NA,"My work aligns closely with my academic skills and interests. I also see the conducting of my work as a therapy to cure my overthinking as well. However, I encounter challenges to make my workflow productive and joyful.","Publication pressure.
Lack of supervision and connection.
Academic challenges.","I have some level of passion, curiosity, and sense of responsibility in my work. I also have concern about how to practice mindful working but stay optimistic about it.",NA,"1.  Mindfulness energy can be accumulated whenever we are doing anything while staying mindful about doing it.
2. Our minds are obsessed with questioning and thinking. Sometimes the answer to ultimate questions in life is to simply live in the present moment and taking good care of our body.","Compassion is a fundamental wholesome mental formation that waters the flower of love and sense of belonging in a community. It helps people connect with each other on a deeper level. When we practice deep listening, the idea is to be present with a fully embracing attitude with the person, and to listen to the voice and the heart of the soul.
Resiliency can be developed simply through entering the present moment. If we find our arrival in every moment, we are no longer entangled with fear, worry, concern of the past or the future. So that way, we seem ""resilient"" to the existing problems while freeing ourselves from sufferings.","I had a question on how to integrate the spirits of the Buddhist mindfulness practice into the way we cope with technology advancement, since I work in the field of computer science.
I was bothered by the fast pace and growing competition of my field, and disliked more and more scientific work coming out of the unwholesome publication game.
After the retreat, I think I have found the answer, but it cannot really be explained by words. To conclude briefly, I think if we can find harmonies within ourself and live a lifestyle under the ethics training we received in the retreat, our scientific work will be a wholesome fruit to the human knowledge by nature.",NA,NA,NA,NA,"Thank you for your organization in this amazing retreat. I just would like to bring the factor of cultural differences to our vision. As a Chinese mainlander who studied in Europe for 4 years and can speak fluent English, I still constantly felt sense of excluding from my Dharma family and general social interactions. I sensed fear, stress, and increased level of politeness with western people that I interacted with. So conversations often ended quickly. However, I had no such trouble socializing with local people when I study in Netherlands. So I believe there is some misunderstanding and misinterpretation of our differences in talking and behaving during the retreat. This discomfort was also expressed by several other Chinese, Taiwanese, and Japanese people I spoke to.
I would love Plum Village to take into account the experience of minority cultural groups in the future, such as creating different language groups and promoting cross-cultural communication (my university has done so to facilitate collaboration in a very diversed student community). This can not only foster a more trusting and open community, but also enrich the retreat itself since China has a profound ancient history with Buddhism and mindfulness practices.",NA
Participant 4,"pre, post",56,Woman,Toulon France,White or European descent,Healthcare,NA,NA,Very Little,Mindfulness méditation.,No,No,NA,Yes,Mindfulness and non violent communication,No,Yes,"Sea and beaches, small maintained and countryside",NA,"Sharif objectives, communication, self awareness","Politics, disrespect for others opinions/feelings.",There is a strong need for neuroscientist to be able to transfer there knowledge to help more people (and avoid frauds and commercialization of science),NA,NA,Sometimes frustrating,Investments (economics and workforce) to help people (and not economy/investors),"Painful and frustrating
",NA,The dirt panel was a full ahaha  money on itself.,The true listening (with some tools)q,Interbeing and how it transfer to the hearth. I will never see the Nature around me in the same way.,NA,NA,NA,NA,NA,NA
Participant 5,pre,39,Man,"In theory, Melbourne. This year, Uppsala.",White or European descent,"Academia, Climate, Government, Science & Research",Climate change,Senior Lecturer in Culture and Climate at the University of Melbourne.,Moderate (2-3 Years),"I’ve participated, on and off, in Sanghas in the Plum Village tradition. Notably in Melbourne and Marseille, where the culture is rather different. I’ve been a n irregular practitioner for some seven years.",No,No,NA,No,NA,Yes,Yes,I live within walking distance from woodlands and a river. I go there pretty much every day.,Melbourne and Marseille,NA,"Publishing more often and more rapidly than others, to become the sources of reference.",NA,NA,NA,The structural upheaval uncovers the many challenges we collectively face. Though it is hard to see the structural conditions of society improving.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Participant 6,"pre, post",53,Woman,Switzerland,"Hispanic, Latino, or of Spanish origin","Academia, Healthcare, Science & Research, Humanitarian work",Social research and mental health related research,ICRC International Committee of the Red Cross,Very Experienced (5+ Years),Daily meditation 10-30 mts + daily yoga 10-30 mts ; received trainings and transmissions in the Karma Kagyu Tibetan linage; daily informal practice breathing and mindfulness; now practicing lucid dreaming,Yes,Yes,MBSR and MSC,Yes,"Karma Kagyu 3 months in monastery studies on Tibetan Buddhist filosophy and psychology for 2 consecutive years + several week long retreats (bhardo, vipassana, mahamudra transmmission]",Yes,Yes,Blessed. I live surrounded by greenery and enjoy weekly contact with mountains and rivers,Flowing river sangha,Working together to achieve a common objective,"Competition of views, trying to impose a view of what is right on others",The importance of creating a human connection that feels safe and authentic to promote collaboration,NA,NA,The occupation of Gaza and the horrors taking place rest heavy in me. I am about to change teams and focus so I am also optimisticm,Financial resources and time,Not sure I understand the question .,NA,Practicing with “hello Manas”; the similarity between the mindfulness trainings and the Tibetan practice of the 37 practices of a bodhisatva,Nothing in particular (just the confirmation that the practice increases compassion and reliance),Not this time,NA,NA,NA,NA,Looking forward to reading about the findings !,NA
Participant 7,"pre, post",33,Man,"Paris, France",White or European descent,"Academia, Information Technology, Science & Research","Music, cognition, artificial intelligence","Associate Researcher, Sony Computer Science Laboratories",Very Experienced (5+ Years),"Daily samadhi / “jhana-lite” practice and metta practice
Daily mindfulness practice in Plum Village style
Occasional Plum Village style “looking deeply” practice
Previously extensive sōtō zazen practice",No,No,NA,No,NA,Yes,Yes,There is a big forest a short cycle from my home. I am able to go there about once a week.,London “Wednesday Evening” Sangha (offshoot of Heart of London / Wake Up); Paris Wake Up,Often very asynchronous — occasional touching base paired with extensive independent work.,"Things are moving quickly, so it often takes the form of a “race” to be the first to move on a new idea. Many are likely to have simultaneously arrived at the same concept.","Mark Miller’s thoughts on generosity in scientific collaboration have stuck with me. Being the person who “everyone wants on their team” by being generous with time, energy, and markers of success (authorship etc) fosters deeper collaborations and helps ideas flourish faster.",NA,NA,Sometimes I wonder what it adds to the bigger picture. To invest intellectual effort in supporting creative pursuits felt more worthwhile before the illusory bubble of neoliberal security “popped”,NA,"I still haven’t returned to work post retreat, so it’s hard to say for sure. My feeling when I think about it is one of distance — I feel like I take it a little less seriously than before the retreat.",NA,"“Permeability” of our affective states — emotions are not contained within the individual.

Personally, identified considerable suffering that I have been carrying for some time.","I saw that relying on a framework (like beginning anew) for approaching relationship difficulties can help foster a deeper compassion and understanding, when this might otherwise feel very difficult.",It affected my perspective on the role of cultivating and embodying peace to support the activism of both myself and others.,NA,NA,NA,NA,Thank you for everything!,NA
Participant 8,"pre, post",46,Man,"Graz, Austria",White or European descent,"Business, Information Technology, Science & Research","I'm originally trained in physics, but now working in the digital marketing and IT sector. My interaction with ""Science and Research"" continues mainly through developing the ""Mindful Researchers"" initiative, supporting various ESRI events by Mind & Life Europe, etc.",I'm affiliated with the Institute for Globally Distributed Open Research and Education (IGDORE),Very Experienced (5+ Years),"meditation (mainly Vipassana style, some Metta meditation), reflective journaling",No,Yes,MSC course,Yes,"mostly Vipassana retreats, some Metta retreats, some Shamatha retreats with B. Alan Wallace, one ""Level 1"" retreat with Daniel P. Brown",No,Yes,"I live close to the northern outskirts of my city. There are little parks around, the river that flows across the city is within a 5-10 minutes walk. Even closer there is a little stream of water (sometimes dry, depending on rain) where I have a ""favourite spot"" beneath one of the trees, where I love to touch the ground with my hands and listen to the sounds of the water. Within 15-20 minutes walk I can reach a little wood and a sacred cave with a well, where I sometimes go to pray. I used to go intentionally to these places more often, a few times per week. Recently it's a lot less, perhaps once per week. I cycle along the river on my way to work about 3-5 times a week. And recently my partner and I have started to go on a hike in the mountains (at car's distance of about 30-60 minutes) each weekend. We also have a large garden with a rather steep slope at her parent's house in which we do various kinds of gardening work, often very intensive, about 2-4 times per month. So I consider myself very blessed for easy access to nature in many ways.",NA,"1. In my ""day job"" in the realm of digital marketing, while we mostly work individually on our tasks, occasionally some team members check in with each other around current questions, challenges, etc. with usually a sense of good collaboration, really trying to help each other solve problems and to learn. 
2. Working on the ""Mindful Researchers"" initiative feels more collaborative, many activities and tasks are tackled together (synchronously or asynchronously), we plan and co-facilitiate online events together, etc. – the themes of ""collaboration"" and ""community"" are strongly woven into the fabric of the initiative.","1. In my ""day job"" in the realm of digital marketing, competition mainly centers on trying to do a better job with higher quality than our competitors (e.g. when one of our clients is unsure whether they want to work on something with us or with a competitor), and also by trying to deliver better results for our clients vis-à-vis their competitors. Occasionally we also ""compete against deadlines"", e.g. when there is a technical change in the digital marketing frameworks used that requires us to implement solutions for many of our customers within a limited timeframe.
2. Working on the ""Mindful Researchers"" initiative feels more like competing with the ""status quo"" of research culture, e.g. trying to offer alternatives ourselves, or supporting people and groups who wish to develop such alternatives themselves. It seems more a competition with ""what does not yet exist"" and trying to bring it into existence, to fill a niche (for instance, by fostering bottom-up and participatory approaches and stimulating innovation processes in the field of contemplative research).","It becomes much easier to collaborate in a ""contemplative environment"". The presence of monastics, the Sangha, all of it inspires generosity, compassion, and the wish to collaborate.","Collaboration among work colleagues, we're eager to help each other out. There is not too much socializing but to some (smaller) extent we also share more personal things.","Competition mainly to the outside: there are competitors in the form of other digital marketing agencies, so we need to do good work with our clients in order to remain in contract. And we do things that help our clients in their competitive environments.","I sometimes feel as though I am ""not doing enough"", coming from a relatively privileged and empowered position – I live in Austria, I have a PhD title, I am intelligent, quite healthy, I have a job that allows me flexibility to work also on other things, etc. ... Even though I am trying to contribute to a better society, peace, life, nature, e.g. through the Mindful Researchers initiative, there are so many areas that call for attention and engagement. Should I not try to support climate research? Work directly on social or environmental issues in my paid job? Become politically active? Build community and mutual support in my neighbourhood? ... But I am limited in many ways, right?
Economically speaking, I am working only 25 hours per week in my paid job, which is enough to pay the bills and allows me the luxury to work (almost) for free e.g. for the Mindful Researchers initiative, but way less income than what people with my background would typically make. So I'm not getting wealthy in the economic sense, which also means that my capacity to share financial wealth (by donations, sponsorship etc.) is limited.
In sum, I often have mixed feelings, oscillating between ""is this enough?"" and a nagging sense of urgency, wondering if I am ""doing what I am supposed to be doing"" – but there are certainly psychological factors at play too (e.g. the inner child tries to become worthy and ""win the love"" of a forever absent father, who abandoned our family when I was only a few years old?).
Sorry if I am digressing! I hope you can make sense of my response. :-)","Oh, this theme is very close to my heart, I could write a lot about it! It is basically the reason why I started the ""Contemplative Scientific Collaboration"" project in 2016, and together with others the ""Mindful Researchers"" initiative in 2020. Maybe it's easiest if I just send you the links here, and I would also be happy to get in touch, during or outside the retreat, if you'd like! 
https://www.contemplativecollaboration.org/
https://mindfulresearchers.org/","It feels more purposeful and also more simplified. There is a stronger sense of purpose to which I can connect my work and various engagements, seeing how they contribute to that purpose. And there is a clearer sense of what is not contributing, or not connected, or would lead me away from it, and now it feels much easier to say ""no"" to these things and to choose with confidence what to say ""yes"" to. There is a growing sense of alignment.","I'm relating to my ""bread job"" in digital marketing here. I don't think this work has a particularly positive impact on social, economic or environmental realities - except in the cases where our clients' businesses are socially and environmentally responsible and we can help them thrive. So this feels rather ""neutral"" to me and perhaps lacking something – I feel I could do more for the sake of social, economic, and environmental well-being. By contrast, I consider my voluntary work with the ""Mindful Researchers"" initiative far more meaningful and potentially conducive to a positive impact, although also rather indirectly as a kind of amplifier or incubator for people's ideas, initiatives and shared practices. It's great to see people being engaged in the world, whether small or large scale, and to support them or to help them find support. This gives me more of a ""positive"" feeling.","There were so many, but right now I distinctly remember these two:

1) In the ""Beginning Anew"" exercise, when considering the person I had chosen, I thought ""oh, this will never work!"", but then I was surprised at how ""easy"" the exercise went. It also shifted something in my relationship with that person.

2) I was impressed with the way in which one of the participant-volunteers guided us during the service meditation: clear instructions, bringing a lot of joy, and there was one moment in which he beautifully apologised for having felt rushed (which I hadn't even noticed!) and re-committed to bringing mindfulness and joy to our service work. I found this way of showing up very moving and inspiring.","Cultivating compassion, and being in a environment in which compassion is being cultivated together, feels very supportive and increases resiliency, both immediate and long-lasting.","I feel more strongly than before that a monastic environment, a Sangha, etc. – especially with the openness for sharing and exchange that I have experienced at Plum Village – can provide fruitful conditions for people to strengthen their practice as well as their resolve to respond skillfulls to any kind of challenge, including what we refer to as ""global challenges"". In some sense, everyone becomes a mutual supporter and contributor to responding more skillfully to global challenges, even if we don't tackle them directly in our respective daily lives.",Yes,"Mindfulness bell, short breathing meditation / walking meditation, mindful eating","Yes. Some significant changes in primary relationships, taking better care of my living space, and being more focused at work.","Thank you very much for your work, and good luck! I'm glad you are taking it on, and happy to learn more about it as time unfolds. _/\_","Again and always, thank you for your precious work! May it flourish, and may you and all beings flourish. :-)",Thank you for doing this work! I look forward to seeing the results someday. :-)
Participant 9,"pre, post",53,Man,"50% Ghent (Belgium) & 50% Luchuex, rural France",White or European descent,"Academia, Education, Art/Music",Art & Symphonic Music,Ghent University (Belgium) Symphonic Orchestra,Moderate (2-3 Years),"1/ 2 retreats before (thich nhath han, maison de 'l inspire & Source de la guérisson) Verdelot, France) 2/ one year home-practice with subscription WAKING UP Sam Harris 3/ first level training, Flanders Focusing for therapists Eugène Gendlin",Yes,Yes,"1/ Fasting and meditation Source de la Guérisson (Plum Villege satellite near to Paris 2/ first level training, Flanders Focusing for therapists Eugène Genlin",No,NA,Yes,Yes,in ghent city (50% of my time) I live next to a hughe park and forest. I often do my jogging or a walk... in rural France i live in the middle of nowhere and a lot of forests... which we use to walk and have jogging and even from time to time we go camping,Sangha Thich Nhat Hanh Gent (Belgium),"Very enriching, energizing, also somewhat uncertain due to budget cuts and sometimes stressful when the process towards the concerts is delayed or when tensions between groups in the orchestra are palpable.","Competition is a creeping, subcutaneous feeling when assistants cooperate, soloists are less than friendly or section leaders are tense with each other, but it is not a dominant aspect, it is only part of the job now and then, and it is perhaps also a natural phenomenon that can never go away completely?","working together in an intuitive way is possible and enjoyable, it doesn't always have to be perfectly coordinated, wow",I work most of the times directly with university students...,"Very periodically, in concert periods there is a lot of stress, sometimes too much for feeling healthy... I'm searching for solutions and think finding in mindfulness though I'm not strong enough... But motivated to get better... Grow stronger in it","there is some uncertainty about how long I will be able to do that... that gives some stress, but this is subordinate to the pleasure I have with all the work I do. On the one hand orchestral music at the university, on the other hand also a little bit of teaching in computer science at an evening school, by the way","I live with the feeling that wherever I work, real positive steps are being taken in honest and safe communication, although of course there is still a lot of work to be done... not least in myself, to master this spontaneously and naturally.","impressive how conscieus and with micro-breaks and quality, it is possible to continue my work... hope to keep it for a long time... otherwise hope to not forget to come back to this...","I'm inspired, looking forward and enthusiast. Though I am always in this period ;)","1/   Fab Lin   2/  the Bell to start and end the day, amazing, he came with me in my mind ;)","there are so many judgmental reflexes in my mind... and i see them now, almost all the time... i'm going to work on them, if you only know...","absolutely, a lot of doom-mongering has been transformed into hope. I was given a lot of confidence, that if I prepare myself with dedication, I can safely allow myself the space that is good for the whole of the upcoming projects with many people... without constantly anxiously questioning myself. I especially trust myself that I will not exaggerate in that ;)",Yes,Focussing ( Eugene Gendlin) and my personal practise,Ik m more and more conscious tot take microbreaks go bredathing netwerk thé tasks of my work and I use quite often the mindfulness bell during a homeworkingday...,I am very curious and looking forward to this coming retreat ;),"the formidable monk, I believe from Thailand, who guided us had difficulty pronouncing the t and the k (like for example this and thaT of liKewise) For that reason he was sometimes very difficult to understand (he knows enough English to do this again) We didn't dare say it. It would have made Dharma with the Quince family a lot more comfortable, and perhaps also more profound. Although everyone is satisfied, and this is certainly not a criticism... it is just a detail that could make a lot of difference in a positive way.",Thank you so much for the wonderfull work you do 🪷
Participant 10,"pre, post",32,Man,"Barcelona, Spain",White or European descent,"Academia, Science & Research","I'm finishing my PhD in computational neuroscience. I have worked on computational whole-brain models of disease (epilepsy, Alzheimer's) and more recently on the computational phenomenology of meditation and psychedelics, trying to map the phenomenology of different practices to computational architectures like agentic systems based on reinforcement learning or active inference.","I have two affiliations: 1) Senior researcher, Neuroelectrics Barcelona 2) PhD candidate, Universitat Pompeu Fabra",Experienced (3-5 Years),"I have a daily meditation practice inspired by different traditions, mainly insight meditation, non-dual traditions and Plum Village.",Yes,No,NA,Yes,"Vipassana (not Goenka), Samatha, Mahamudra",Yes,Yes,"There's a park close to my house (15' walking), and I don't go very often (once a month)
The sea is 30 min far away, and I don't go very often too (once a month too)",Sangha del Pi (Wake up Sangha in Barcelona),"A willingness to share theories, data and insights with other people, without worrying about issues like credit, authorship or power. There's the feeling that the ""greater good"" matters more than our individual contributions. This feels very good in the heart, and nourishes a sense of purpose, something that makes one be more and more involved in particular fields (such as contemplative science).","An excessive worry about individual credit, academic position or authorship in papers, an unwillingness to discuss and share ideas. It's understandable given the systemic constraints, specially how academia functions, but it can feel a bit sad or disappointing at times.","I see the impact of the way we relate to other people in academic collaborations. I feel very grateful to be part of an academic community where interpersonal relationships are natural, human and caring.",NA,NA,"On the one hand it feels meaningful because there's the sentiment that what I do could help society face some of the current crisis. On the other hand there's a lot of uncertainty about the impact of my work (or any other, for that matter), and about which issues are more pressing (climate change, AI safety, social inequality, to name some).",NA,Coming back to research with these new insights feels really empowering.,NA,"I had heard many times Thay's sentence ""There is no way to peace, peace is the way"", but this time it really clicked. The fact that we try to make the world a better place through our work and actions, but we overemphasize the ""what"" and we underestimate the ""how"". And the power of the community in this collective awakening.",The fact that we need to zoom out from time to time from our research to ask ourselves if it's going in the direction of alleviating suffering in ourselves and others.,Yes. I'm now more inclined to participate in a variety of research topics related to our current global challenges instead of focusing only in one specific area.,NA,NA,NA,NA,NA,NA
