id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,anxiety,anxiety_follow_up,boredom,boredom_follow_up,calm,calm_follow_up,connection,connection_follow_up,curiosity,curiosity_follow_up,despair,despair_follow_up,frustrations,frustrations_follow_up,joy,joy_follow_up,collaboration,collaboration_follow_up,competition,competition_follow_up,colleague_wellness_support,colleague_wellness_support_follow_up,community,community_post,community_follow_up,wellness_enhance_work,wellness_enhance_work_follow_up,retreat_fosters_collab_scientist_practitioners,retreat_fosters_collab_attendees,retreat_wellness_support_post,body_aware,body_aware_post,body_aware_follow_up,feelings_aware,feelings_aware_post,feelings_aware_follow_up,mind_aware,mind_aware_post,mind_aware_follow_up,perception_aware,perception_aware_post,perception_aware_follow_up,happy,happy_post,happy_follow_up,life_interest,life_interest_post,life_interest_follow_up,life_satisfaction,life_satisfaction_post,life_satisfaction_follow_up,society_contribution,society_contribution_post,society_contribution_follow_up,belonging,belonging_post,belonging_follow_up,society_good,society_good_post,society_good_follow_up,people_good,people_good_post,people_good_follow_up,society_makes_sense,society_makes_sense_post,society_makes_sense_follow_up,personality_satisfaction,personality_satisfaction_post,personality_satisfaction_follow_up,life_responsibility_management,life_responsibility_management_post,life_responsibility_management_follow_up,warm_trusting_relationship,warm_trusting_relationship_post,warm_trusting_relationship_follow_up,growth_opportunities,growth_opportunities_post,growth_opportunities_follow_up,confidence_ideas,confidence_ideas_post,confidence_follow_up,life_direction,life_direction_post,life_direction_follow_up
Participant 1,"pre, post",52,Man,"Genova, Italy",White or European descent,Healthcare,NA,NA,Experienced (3-5 Years),"Sitting meditation, walking meditation",Yes,Yes,MBSR; MBSR teacher training,No,NA,Yes,Yes,Parks and woods 4 - 5 days per week,"Sangha dei carruggi (Genova, Italy)",Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Disagree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Often,Always,Often,Often,Often,Often,Often,Always,Often,Often,Often,Often,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Never,Never,Never,About Once a Week,About Once a Week,About Once a Week,Never,Never,Never,Once or Twice,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Once or Twice,About Once a Week,About 2 or 3 Times a Week,Once or Twice,About Once a Week,Almost Every Day
Participant 2,pre,53,Genderqueer or genderfluid,Leipzig/ Germany,White or European descent,Education,The mind / system Theorie,NA,Very Experienced (5+ Years),Meditation sitting and walking,Yes,Yes,MBSR,Yes,Theravada Buddhism general retreats in Sri Lanka,Yes,Yes,"Parks near to my appartment, I go there 2-4 times a week",International Queer Sangha / LGBTQIA +,Sometimes,NA,Rarely,NA,Often,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Agree,NA,NA,Neutral,NA,NA,NA,NA,Often,NA,NA,Often,NA,NA,Sometimes,NA,NA,Often,NA,NA,Almost Every Day,NA,NA,Almost Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Almost Every Day,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Every Day,NA,NA,Once or Twice,NA,NA
Participant 3,"pre, post",26,Man,"The Hague, Netherlands","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);","Academia, Information Technology",Computer graphics,Delft university of technology,Little (1-2 Years),"Meditation, guided meditation, waking meditation, eating meditation",No,Yes,Introductory courses to mindfulness,Yes,Meditation session at a Sangha in The Hague,No,Yes,"Parks, natural forests, seasides. About twice a week",Zen Heart Sangha Nederland,Sometimes,NA,Often,NA,Sometimes,NA,Often,NA,Sometimes,NA,Rarely,NA,Often,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,Agree,NA,Agree,Disagree,NA,Neutral,NA,Agree,Neutral,Agree,Sometimes,Often,NA,Often,Often,NA,Always,Often,NA,Often,Often,NA,Almost Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,About Once a Week,About 2 or 3 Times a Week,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,About Once a Week,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Every Day,NA,Almost Every Day,Almost Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Every Day,Almost Every Day,NA
Participant 4,"pre, post",56,Woman,Toulon France,White or European descent,Healthcare,NA,NA,Very Little,Mindfulness méditation.,No,No,NA,Yes,Mindfulness and non violent communication,No,Yes,"Sea and beaches, small maintained and countryside",NA,Sometimes,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Disagree,Agree,NA,Disagree,NA,Agree,Agree,Neutral,Often,Often,NA,Sometimes,Sometimes,NA,Often,Often,NA,Sometimes,Often,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Once or Twice,NA,Once or Twice,Never,NA,Once or Twice,About Once a Week,NA,Once or Twice,Once or Twice,NA,About 2 or 3 Times a Week,Once or Twice,NA,Never,Never,NA,Once or Twice,Once or Twice,NA,About 2 or 3 Times a Week,About Once a Week,NA,Once or Twice,Once or Twice,NA,About Once a Week,Once or Twice,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Once or Twice,Once or Twice,NA
Participant 5,pre,39,Man,"In theory, Melbourne. This year, Uppsala.",White or European descent,"Academia, Climate, Government, Science & Research",Climate change,Senior Lecturer in Culture and Climate at the University of Melbourne.,Moderate (2-3 Years),"I’ve participated, on and off, in Sanghas in the Plum Village tradition. Notably in Melbourne and Marseille, where the culture is rather different. I’ve been a n irregular practitioner for some seven years.",No,No,NA,No,NA,Yes,Yes,I live within walking distance from woodlands and a river. I go there pretty much every day.,Melbourne and Marseille,Sometimes,NA,Sometimes,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,Often,NA,Often,NA,Agree,NA,Agree,NA,NA,Agree,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,Often,NA,NA,Often,NA,NA,Once or Twice,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,Never,NA,NA,About 2 or 3 Times a Week,NA,NA,Never,NA,NA,About Once a Week,NA,NA,Once or Twice,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA,About 2 or 3 Times a Week,NA,NA
Participant 6,"pre, post",53,Woman,Switzerland,"Hispanic, Latino, or of Spanish origin","Academia, Healthcare, Science & Research, Humanitarian work",Social research and mental health related research,ICRC International Committee of the Red Cross,Very Experienced (5+ Years),Daily meditation 10-30 mts + daily yoga 10-30 mts ; received trainings and transmissions in the Karma Kagyu Tibetan linage; daily informal practice breathing and mindfulness; now practicing lucid dreaming,Yes,Yes,MBSR and MSC,Yes,"Karma Kagyu 3 months in monastery studies on Tibetan Buddhist filosophy and psychology for 2 consecutive years + several week long retreats (bhardo, vipassana, mahamudra transmmission]",Yes,Yes,Blessed. I live surrounded by greenery and enjoy weekly contact with mountains and rivers,Flowing river sangha,Rarely,NA,Rarely,NA,Often,NA,Often,NA,Often,NA,Sometimes,NA,Sometimes,NA,Often,NA,Often,NA,Rarely,NA,Agree,NA,Strongly Agree,Strongly Agree,NA,Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Often,Always,NA,Often,Always,NA,Often,Always,NA,Often,Always,NA,Every Day,Every Day,NA,Every Day,Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Every Day,Every Day,NA,About Once a Week,About 2 or 3 Times a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Once or Twice,Once or Twice,NA,Almost Every Day,Almost Every Day,NA,Every Day,Every Day,NA,Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA
Participant 7,"pre, post",33,Man,"Paris, France",White or European descent,"Academia, Information Technology, Science & Research","Music, cognition, artificial intelligence","Associate Researcher, Sony Computer Science Laboratories",Very Experienced (5+ Years),"Daily samadhi / “jhana-lite” practice and metta practice
Daily mindfulness practice in Plum Village style
Occasional Plum Village style “looking deeply” practice
Previously extensive sōtō zazen practice",No,No,NA,No,NA,Yes,Yes,There is a big forest a short cycle from my home. I am able to go there about once a week.,London “Wednesday Evening” Sangha (offshoot of Heart of London / Wake Up); Paris Wake Up,Sometimes,NA,Sometimes,NA,Often,NA,Rarely,NA,Always,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Rarely,NA,Often,NA,Agree,NA,Agree,Strongly Agree,NA,Agree,NA,Agree,Strongly Agree,Strongly Agree,Often,Always,NA,Sometimes,Often,NA,Often,Often,NA,Often,Sometimes,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Almost Every Day,Almost Every Day,NA,Once or Twice,About Once a Week,NA,About Once a Week,About 2 or 3 Times a Week,NA,Once or Twice,About Once a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,Never,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Almost Every Day,About Once a Week,NA,About 2 or 3 Times a Week,Almost Every Day,NA,About 2 or 3 Times a Week,Every Day,NA,About Once a Week,Every Day,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA
Participant 8,"pre, post",46,Man,"Graz, Austria",White or European descent,"Business, Information Technology, Science & Research","I'm originally trained in physics, but now working in the digital marketing and IT sector. My interaction with ""Science and Research"" continues mainly through developing the ""Mindful Researchers"" initiative, supporting various ESRI events by Mind & Life Europe, etc.",I'm affiliated with the Institute for Globally Distributed Open Research and Education (IGDORE),Very Experienced (5+ Years),"meditation (mainly Vipassana style, some Metta meditation), reflective journaling",No,Yes,MSC course,Yes,"mostly Vipassana retreats, some Metta retreats, some Shamatha retreats with B. Alan Wallace, one ""Level 1"" retreat with Daniel P. Brown",No,Yes,"I live close to the northern outskirts of my city. There are little parks around, the river that flows across the city is within a 5-10 minutes walk. Even closer there is a little stream of water (sometimes dry, depending on rain) where I have a ""favourite spot"" beneath one of the trees, where I love to touch the ground with my hands and listen to the sounds of the water. Within 15-20 minutes walk I can reach a little wood and a sacred cave with a well, where I sometimes go to pray. I used to go intentionally to these places more often, a few times per week. Recently it's a lot less, perhaps once per week. I cycle along the river on my way to work about 3-5 times a week. And recently my partner and I have started to go on a hike in the mountains (at car's distance of about 30-60 minutes) each weekend. We also have a large garden with a rather steep slope at her parent's house in which we do various kinds of gardening work, often very intensive, about 2-4 times per month. So I consider myself very blessed for easy access to nature in many ways.",NA,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Often,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Often,Often,Sometimes,Sometimes,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,About 2 or 3 Times a Week,Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Every Day,Almost Every Day,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Every Day,Almost Every Day,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day,Almost Every Day,Almost Every Day,Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,Every Day,Almost Every Day
Participant 9,"pre, post",53,Man,"50% Ghent (Belgium) & 50% Luchuex, rural France",White or European descent,"Academia, Education, Art/Music",Art & Symphonic Music,Ghent University (Belgium) Symphonic Orchestra,Moderate (2-3 Years),"1/ 2 retreats before (thich nhath han, maison de 'l inspire & Source de la guérisson) Verdelot, France) 2/ one year home-practice with subscription WAKING UP Sam Harris 3/ first level training, Flanders Focusing for therapists Eugène Gendlin",Yes,Yes,"1/ Fasting and meditation Source de la Guérisson (Plum Villege satellite near to Paris 2/ first level training, Flanders Focusing for therapists Eugène Genlin",No,NA,Yes,Yes,in ghent city (50% of my time) I live next to a hughe park and forest. I often do my jogging or a walk... in rural France i live in the middle of nowhere and a lot of forests... which we use to walk and have jogging and even from time to time we go camping,Sangha Thich Nhat Hanh Gent (Belgium),Sometimes,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Rarely,Rarely,Often,Often,Sometimes,Often,Sometimes,Often,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Rarely,Sometimes,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,Almost Every Day,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week,About Once a Week,About 2 or 3 Times a Week,Almost Every Day,About 2 or 3 Times a Week,About 2 or 3 Times a Week
Participant 10,"pre, post",32,Man,"Barcelona, Spain",White or European descent,"Academia, Science & Research","I'm finishing my PhD in computational neuroscience. I have worked on computational whole-brain models of disease (epilepsy, Alzheimer's) and more recently on the computational phenomenology of meditation and psychedelics, trying to map the phenomenology of different practices to computational architectures like agentic systems based on reinforcement learning or active inference.","I have two affiliations: 1) Senior researcher, Neuroelectrics Barcelona 2) PhD candidate, Universitat Pompeu Fabra",Experienced (3-5 Years),"I have a daily meditation practice inspired by different traditions, mainly insight meditation, non-dual traditions and Plum Village.",Yes,No,NA,Yes,"Vipassana (not Goenka), Samatha, Mahamudra",Yes,Yes,"There's a park close to my house (15' walking), and I don't go very often (once a month)
The sea is 30 min far away, and I don't go very often too (once a month too)",Sangha del Pi (Wake up Sangha in Barcelona),Sometimes,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Often,NA,Rarely,NA,Sometimes,NA,Sometimes,NA,Often,NA,Rarely,NA,Neutral,NA,Strongly Agree,Strongly Agree,NA,Agree,NA,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Always,NA,Often,Always,NA,Often,Always,NA,Sometimes,Always,NA,Every Day,Every Day,NA,Every Day,Every Day,NA,Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Every Day,Every Day,NA,About Once a Week,About Once a Week,NA,About 2 or 3 Times a Week,About 2 or 3 Times a Week,NA,Every Day,Almost Every Day,NA,Every Day,Every Day,NA,Almost Every Day,About 2 or 3 Times a Week,NA,Every Day,Almost Every Day,NA,Every Day,Almost Every Day,NA
